RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ITALIE,ITALIE,AGRIGENTO,AGRIGENTO,01,407
ITALIE,ITALIE,AGRIGENTO,ANCONA,01,160
ITALIE,ITALIE,AGRIGENTO,AREZZO,01,5
ITALIE,ITALIE,AGRIGENTO,ASTI,01,302
ITALIE,ITALIE,AGRIGENTO,BARI,01,363
ITALIE,ITALIE,AGRIGENTO,BARI,02,363
ITALIE,ITALIE,AGRIGENTO,BASSANO DEL GRAPA,01,358
ITALIE,ITALIE,AGRIGENTO,BERGAMO,01,571
ITALIE,ITALIE,AGRIGENTO,BERGAMO,02,570
ITALIE,ITALIE,AGRIGENTO,BERGAMO,03,570
ITALIE,ITALIE,AGRIGENTO,BERGAMO,04,571
ITALIE,ITALIE,AGRIGENTO,BERGAMO,05,572
ITALIE,ITALIE,AGRIGENTO,BERGAMO,06,572
ITALIE,ITALIE,AGRIGENTO,BERGAMO,07,573
ITALIE,ITALIE,AGRIGENTO,BOLOGNA,01,592
ITALIE,ITALIE,AGRIGENTO,BOLOGNA,02,16
ITALIE,ITALIE,AGRIGENTO,BOLZANO,01,372
ITALIE,ITALIE,AGRIGENTO,BRESCIA,01,557
ITALIE,ITALIE,AGRIGENTO,BRESCIA,02,558
ITALIE,ITALIE,AGRIGENTO,BRESCIA,03,549
ITALIE,ITALIE,AGRIGENTO,BRESCIA,04,559
ITALIE,ITALIE,AGRIGENTO,BRESCIA,05,564
ITALIE,ITALIE,AGRIGENTO,BRESCIA,06,561
