RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,01,564
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,02,563
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,03,565
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,04,563
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,05,567
MAURITANIE,MAURITANIE,NOUADIBOU,NOUADIBOU,06,566
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,01,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,02,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,03,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,04,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,05,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,06,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,07,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,08,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,09,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,10,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,11,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,12,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,13,543
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,14,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,15,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,16,544
MAURITANIE,MAURITANIE,NOUAKCHOTT,NOUAKCHOTT,17,544
