RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
FRANCE,FRANCE,BORDEAUX,BORDEAUX,01,539
FRANCE,FRANCE,BORDEAUX,BORDEAUX,02,539
FRANCE,FRANCE,BORDEAUX,BORDEAUX,03,539
FRANCE,FRANCE,BORDEAUX,BORDEAUX,04,539
FRANCE,FRANCE,BORDEAUX,BORDEAUX,05,539
FRANCE,FRANCE,LIMOGES,LIMOGES,01,315
FRANCE,FRANCE,PAU,PAU,01,247
FRANCE,FRANCE,POITIERS,POITIERS,01,301
FRANCE,FRANCE,CANNES,CANNES,01,508
FRANCE,FRANCE,LE HAVRE,LE HAVRE,01,557
FRANCE,FRANCE,LE HAVRE,LE HAVRE,02,557
FRANCE,FRANCE,LE HAVRE,LE HAVRE,03,557
FRANCE,FRANCE,LE HAVRE,LE HAVRE,04,557
FRANCE,FRANCE,LE HAVRE,LE HAVRE,05,556
FRANCE,FRANCE,LE HAVRE,LE HAVRE,06,556
FRANCE,FRANCE,LE HAVRE,LE HAVRE,07,556
FRANCE,FRANCE,LE HAVRE,LE HAVRE,08,556
FRANCE,FRANCE,LE HAVRE,LE HAVRE,09,557
FRANCE,FRANCE,LILLE,LILLE,01,571
FRANCE,FRANCE,LILLE,LILLE,02,570
FRANCE,FRANCE,LILLE,LILLE,03,570
FRANCE,FRANCE,LYON,LYON,01,550
FRANCE,FRANCE,LYON,LYON,02,549
