RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BAFATA,01,107
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BAIRO MILITARY,01,392
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BANDIM,01,577
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BANDIM,02,576
GUINEE BISSAU,GUINEE BISSAU,BAFATA,CHANCELLERIE,01,534
GUINEE BISSAU,GUINEE BISSAU,BAFATA,CHANCELLERIE,02,536
GUINEE BISSAU,GUINEE BISSAU,BAFATA,CHANCELLERIE,03,144
GUINEE BISSAU,GUINEE BISSAU,BAFATA,CUNTUM,01,242
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BISSORA,01,83
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BUBA,01,23
GUINEE BISSAU,GUINEE BISSAU,BAFATA,BUBAQUE,01,8
GUINEE BISSAU,GUINEE BISSAU,BAFATA,CANCHUNGO,01,311
GUINEE BISSAU,GUINEE BISSAU,BAFATA,FARIM,01,87
GUINEE BISSAU,GUINEE BISSAU,BAFATA,GABU,01,134
GUINEE BISSAU,GUINEE BISSAU,BAFATA,INGORE,01,210
GUINEE BISSAU,GUINEE BISSAU,BAFATA,SAM DOMINGO,01,183
