RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ITALIE,ITALIE,PALERME,PALEME,01,235
ITALIE,ITALIE,PALERME,PARMA,01,520
ITALIE,ITALIE,PALERME,PARMA,02,520
ITALIE,ITALIE,PALERME,PESCARA,01,470
ITALIE,ITALIE,PALERME,PESCARA,02,471
ITALIE,ITALIE,PALERME,PIACENZA,01,559
ITALIE,ITALIE,PALERME,PIACENZA,02,76
ITALIE,ITALIE,PALERME,PIOMBINO,01,183
ITALIE,ITALIE,PALERME,PISE,01,497
ITALIE,ITALIE,PALERME,PISE,02,496
ITALIE,ITALIE,PALERME,PISE,03,497
ITALIE,ITALIE,PALERME,PISE,04,497
ITALIE,ITALIE,PALERME,POGGIBONSI,01,70
ITALIE,ITALIE,PALERME,PONTEDERA,01,120
ITALIE,ITALIE,PALERME,PRATO,01,45
ITALIE,ITALIE,PALERME,RAVENNE,01,580
ITALIE,ITALIE,PALERME,REGGIO CALABRIA,01,91
ITALIE,ITALIE,PALERME,REGGIO EMILIA,01,548
ITALIE,ITALIE,PALERME,RIMINI,01,539
ITALIE,ITALIE,PALERME,RIMINI,02,546
ITALIE,ITALIE,PALERME,RIMINI,03,188
ITALIE,ITALIE,PALERME,ROME,01,524
ITALIE,ITALIE,PALERME,ROME,02,524
ITALIE,ITALIE,PALERME,ROME,03,522
ITALIE,ITALIE,PALERME,ROME,04,522
ITALIE,ITALIE,PALERME,ROME,05,515
ITALIE,ITALIE,PALERME,ROME,06,208
ITALIE,ITALIE,PALERME,SALERNO,01,338
