RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
MAROC,MAROC,AGADIR,AGADIR,01,335
MAROC,MAROC,AGADIR,AGADIR,02,336
MAROC,MAROC,AGADIR,CASABLANCA,01,555
MAROC,MAROC,AGADIR,CASABLANCA,02,555
MAROC,MAROC,AGADIR,CASABLANCA,03,551
MAROC,MAROC,AGADIR,CASABLANCA,04,550
MAROC,MAROC,AGADIR,CASABLANCA,05,550
MAROC,MAROC,AGADIR,CASABLANCA,06,554
MAROC,MAROC,AGADIR,CASABLANCA,07,557
MAROC,MAROC,AGADIR,CASABLANCA,08,556
MAROC,MAROC,AGADIR,CASABLANCA,09,551
MAROC,MAROC,AGADIR,CASABLANCA,10,550
MAROC,MAROC,AGADIR,CASABLANCA,11,553
MAROC,MAROC,AGADIR,CASABLANCA,12,561
MAROC,MAROC,AGADIR,CASABLANCA,13,561
MAROC,MAROC,AGADIR,DAKHLA,01,449
MAROC,MAROC,AGADIR,FES,01,570
MAROC,MAROC,AGADIR,FES,02,44
MAROC,MAROC,AGADIR,LAYOUNE,01,156
MAROC,MAROC,AGADIR,MARRAKECH,01,446
MAROC,MAROC,AGADIR,MARRAKECH,02,452
MAROC,MAROC,AGADIR,RABAT,01,466
MAROC,MAROC,AGADIR,RABAT,02,454
