RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,01,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,02,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,03,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,04,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,05,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,06,509
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,01,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,02,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,03,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,04,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,05,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,06,452
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,07,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,08,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,09,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,10,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,11,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,12,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,13,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,14,450
