RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
MALI,MALI,BAMAKO,BAMAKO,01,551
MALI,MALI,BAMAKO,BAMAKO,02,551
MALI,MALI,BAMAKO,BAMAKO,03,553
MALI,MALI,BAMAKO,BAMAKO,04,551
MALI,MALI,BAMAKO,BAMAKO,05,551
MALI,MALI,BAMAKO,BAMAKO,06,550
MALI,MALI,BAMAKO,BAMAKO,07,553
MALI,MALI,BAMAKO,BAMAKO,08,552
MALI,MALI,BAMAKO,BAMAKO,09,551
MALI,MALI,BAMAKO,BAMAKO,10,552
MALI,MALI,BAMAKO,BAMAKO,11,551
MALI,MALI,BAMAKO,BAMAKO,12,552
MALI,MALI,BAMAKO,BAMAKO,13,552
MALI,MALI,BAMAKO,BAMAKO,14,551
MALI,MALI,KAYES,KAYES,01,491
MALI,MALI,KAYES,KAYES,02,490
MALI,MALI,SAME OULOLOF,SAME OULOLOF,01,7
MALI,MALI,KONIAKARY,KONIAKARY,01,322
MALI,MALI,KOUTIALA,KOUTIALA,01,27
MALI,MALI,SEGOU,SEGOU,01,106
MALI,MALI,SIKASSO,SIKASSO,01,20
