RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ITALIE,ITALIE,LIVORNE,LIVORNE,01,418
ITALIE,ITALIE,LIVORNE,LIVORNE,02,419
ITALIE,ITALIE,LIVORNE,MACERATA,01,534
ITALIE,ITALIE,LIVORNE,MANTOVA,01,361
ITALIE,ITALIE,LIVORNE,MASSA CARRARA,01,109
ITALIE,ITALIE,LIVORNE,MILAN,01,559
ITALIE,ITALIE,LIVORNE,MILAN,02,566
ITALIE,ITALIE,LIVORNE,MILAN,03,559
ITALIE,ITALIE,LIVORNE,MILAN,04,559
ITALIE,ITALIE,LIVORNE,MILAN,05,560
ITALIE,ITALIE,LIVORNE,MILAN,06,559
ITALIE,ITALIE,LIVORNE,MILAN,07,561
ITALIE,ITALIE,LIVORNE,MILAN,08,561
ITALIE,ITALIE,LIVORNE,MILAN,09,558
ITALIE,ITALIE,LIVORNE,MILAN,10,559
ITALIE,ITALIE,LIVORNE,MILAN,11,557
ITALIE,ITALIE,LIVORNE,MILAN,12,566
ITALIE,ITALIE,LIVORNE,MODENA,01,205
ITALIE,ITALIE,LIVORNE,MONZA,01,422
ITALIE,ITALIE,LIVORNE,NAPLES,01,560
ITALIE,ITALIE,LIVORNE,NAPLES,02,554
ITALIE,ITALIE,LIVORNE,NAPLES,03,556
ITALIE,ITALIE,LIVORNE,NAPLES,04,90
ITALIE,ITALIE,LIVORNE,NOVARA (BIERA VERCELLI),01,561
ITALIE,ITALIE,LIVORNE,NOVARA (BIERA VERCELLI),02,563
ITALIE,ITALIE,LIVORNE,OLBIA,01,326
ITALIE,ITALIE,LIVORNE,PADOVA,01,515
ITALIE,ITALIE,LIVORNE,PADOVA,02,113
