RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
FRANCE,FRANCE,PARIS,MANTES-LA JOLIE,08,568
FRANCE,FRANCE,PARIS,MANTES-LA JOLIE,09,568
FRANCE,FRANCE,PARIS,MANTES-LA JOLIE,10,568
FRANCE,FRANCE,PARIS,MANTES-LA JOLIE,11,568
FRANCE,FRANCE,PARIS,MANTES-LA JOLIE,12,568
FRANCE,FRANCE,PARIS,MULHOUSE,01,525
FRANCE,FRANCE,PARIS,MULHOUSE,02,106
FRANCE,FRANCE,PARIS,NANTES,01,539
FRANCE,FRANCE,PARIS,NANTES,02,540
FRANCE,FRANCE,PARIS,NANTES,03,539
FRANCE,FRANCE,PARIS,ORLEANS,01,589
FRANCE,FRANCE,PARIS,ORLEANS,02,590
FRANCE,FRANCE,PARIS,ORLEANS,03,590
FRANCE,FRANCE,PARIS,PARIS,01,597
FRANCE,FRANCE,PARIS,PARIS,02,597
FRANCE,FRANCE,PARIS,PARIS,03,597
FRANCE,FRANCE,PARIS,PARIS,04,597
FRANCE,FRANCE,PARIS,PARIS,05,597
FRANCE,FRANCE,PARIS,PARIS,06,597
FRANCE,FRANCE,PARIS,PARIS,07,597
FRANCE,FRANCE,PARIS,PARIS,08,597
FRANCE,FRANCE,PARIS,PARIS,09,597
FRANCE,FRANCE,PARIS,PARIS,10,597
FRANCE,FRANCE,PARIS,PARIS,11,597
FRANCE,FRANCE,PARIS,PARIS,12,597
FRANCE,FRANCE,PARIS,PARIS,13,597
FRANCE,FRANCE,PARIS,PARIS,14,597
FRANCE,FRANCE,PARIS,PARIS,15,597
