Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
SAINT LOUIS,PODOR,GAMADJI SARE,ALVAR,01,509,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,BOMBODE,01,208,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,COPPE MANGAYE,01,230,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,DIARA,01,580,CLASSE CE2
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,01,588,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,02,588,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,03,587,CLASSE CE2
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,04,585,CM2 A
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE THIELAO,01,531,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE THIELAO,02,531,CLASSE CE 2
SAINT LOUIS,PODOR,GAMADJI SARE,ECOLE THIELAO,03,530,CLASSE CM2
SAINT LOUIS,PODOR,GAMADJI SARE,KODIOLEL,01,590,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,KODIOLEL,02,583,CLASSE CE2
SAINT LOUIS,PODOR,GAMADJI SARE,KODIOLEL,03,257,ECOLE CM1
SAINT LOUIS,PODOR,GAMADJI SARE,KORKADIEL,01,296,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,MBELOGNE,01,203,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,MBELOGNE,02,202,ABRI PROVISOIRE
SAINT LOUIS,PODOR,GAMADJI SARE,MOUNDOUWAYE,01,347,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,NAMARDE,01,482,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,NAMAREL ECOLE,01,549,CLASE CE 1
SAINT LOUIS,PODOR,GAMADJI SARE,NAMAREL ECOLE,02,549,CLASSE CE2
SAINT LOUIS,PODOR,GAMADJI SARE,NAMAREL ECOLE,03,548,CLASSE CM1
SAINT LOUIS,PODOR,GAMADJI SARE,NGANE,01,411,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,NGANE,02,410,CLASSE CE2
SAINT LOUIS,PODOR,GAMADJI SARE,OURO MALEY,01,590,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,OURO MALEY,02,588,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,WINDOU DIAMY,01,530,CLASSE CP
SAINT LOUIS,PODOR,GAMADJI SARE,WINDOU DIAMY,02,144,CLASSE CE1
SAINT LOUIS,PODOR,GAMADJI SARE,YOLI,01,533,CLASSE CP
