Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,01,534,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,02,532,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,03,533,SALLE DE CLASSE
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,04,534,SALLE DE CLASSE
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,01,409,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,02,409,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,03,408,SALLE 3
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,01,358,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,02,360,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,03,359,SALLE 3
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,04,360,SALLE 4
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,05,359,SALLE 5
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,06,358,SALLE 6
