Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE BELELGADIALI,01,373,CLASSE CE2
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE DIAMCIRA,01,506,CLASSE CE2
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE KEUR MBAGNE DIOP,01,457,CLASSE CE2 A
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE KEUR MBAGNE DIOP,02,456,CLASSE CE2 B
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE KOUNG KOUNG SERERE,01,369,CLASSE CM1
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE KOUNG KOUNG THIALENE,01,173,CLASSE CM2
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE MBACKE SALOUM,01,297,CLASSE CE2
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE NDIBA,01,233,CLASSE CI
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,01,549,CLASSE CM2 B
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,02,549,CLASSE CE2 B
KAOLACK,KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,03,550,CLASSE CM1
KAOLACK,KAOLACK,NDIEBEL,ECOLE GOVETHIE,01,365,CLASSE CP
KAOLACK,KAOLACK,NDIEBEL,ECOLE KEUR MADIOUF,01,413,CLASSE CE1
KAOLACK,KAOLACK,NDIEBEL,ECOLE NDALLANE KEUR MASSAMBA,01,163,CASSE CI
KAOLACK,KAOLACK,NDIEBEL,NDALLANE MALICK NOR,01,328,CASE DE SANTE
