Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,04,554,CLASSE CE1 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,05,544,CLASSE CM1 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,06,550,CLASSE CE2 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,07,543,CLASSE CM2 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,01,440,CLASSE - CI A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,02,440,CLASSE - CP2 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,03,439,CLASSE - CP2 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,04,440,CLASSE - CE1 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,05,439,CLASE - CE1 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,06,439,CLASSE - CE1 C
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,07,440,CLASSE CM1 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,08,436,CLASSE CM1 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,01,577,CLASSE CE1 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,02,579,CLASSE CM2 B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,03,577,CLASSE CM2 A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,04,578,CLASSE CP B
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,05,579,CLASSE CP A
LOUGA,LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,06,581,CLASSE CM1 A
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,01,600,CLASSE 2ND B
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,02,599,CLASSE CE1 B
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,03,598,CLASSE CE1 A
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,04,598,CLASSE CE2 A
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,05,599,CLASSE CP FRANCO
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,06,598,CLASSE CI A FRANCO
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,07,599,PETITE SECTION
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,08,599,GRANDE SECTION
LOUGA,LOUGA,LOUGA,ECOLE MANAR EL OUDAH,09,599,CLASSE MOYENNE SECTION
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,01,568,CLASSE CM2 A
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,02,565,CLASSE CM2 B
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,03,573,CLASSE CM2 C
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,04,568,CLASSE CM1 A
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,05,572,CLASSE CM1 B
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,06,560,CLASSE CE1
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,07,564,CLASSE CP2
LOUGA,LOUGA,LOUGA,ECOLE MARBATH,08,261,CLASSE CP5
LOUGA,LOUGA,LOUGA,ECOLE NDIANG FALL,01,240,CLASSE CE1
