Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),05,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),06,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),07,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),08,599,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),09,422,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),10,323,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),01,600,CLASSE CE2 A
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),02,600,CLASSE CE2 B
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),03,600,CLASSE CE1 A
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),04,600,CLASSE CI B
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),05,600,CLASSE CP B
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),06,600,SALLE DE CLASSE CE 1 A
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),07,524,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),08,212,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),01,535,CLASSE CI A
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),02,534,CLASSE CP B
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),03,534,CLASSE CE1 A
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),04,532,CLASSE CE1 B
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),05,531,CLASSE CM1 A
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),06,526,CLASSE CM1 B
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),07,527,CLASSE CP A
DAKAR,DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),08,525,CLASSE CE2 A
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,01,600,CLASSE CIA
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,02,600,CLASSE CPA
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,03,599,CLASSE CE1A
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,04,600,CLASSE CE2
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,05,600,CLASSE CM1
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,06,600,CLASSE CM2
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,07,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,08,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,09,600,SALLE 12
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,10,600,SALLE DE CLASSE
DAKAR,DAKAR,PLATEAU,ECOLE REBEUSS,11,188,SALLE DE CLASSE
