Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,01,600,ECOLE ABABACAR LAYE BV1
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,02,600,ECOLE ABABACAR LAYE BV2
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,03,600,ECOLE ABABACAR LAYE BV3
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,04,600,ECOLE ABABACAR LAYE BV4
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,05,600,ECOLE ABABACAR LAYE BV5
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,06,600,ECOLE ABABACAR LAYE BV6
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,07,600,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,08,600,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,09,599,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,10,600,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE ABABACAR LAYE,11,269,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,01,589,CLASSE CPB
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,02,581,CLASSE CE1B
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,03,588,SANS CHANGEMENT
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,04,584,CLASSE CM1B
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,05,585,CLASSE CM1 A
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,06,587,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,07,584,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE AEROPORT YOFF,08,168,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,01,560,CLASSE CIA
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,02,569,CLASSE CPB
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,03,555,CLASSE CE1A
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,04,563,CLASSE CM2A
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,05,528,SALLE DE CLASSE
DAKAR,DAKAR,YOFF,ECOLE CITE DIAMALAYE,06,355,CLASSE CE2 B
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),01,561,CLASSE CIA
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),02,560,CLASSE CIB
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),03,565,CLASSE CPA
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),04,566,CLASSE CPB
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),05,559,CLASSE CE1 A
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),06,562,CLASSE CE1B
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),07,566,CLASSE CE2A
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),08,558,CLASSE CE2B
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),09,562,CLASSE CM1A
DAKAR,DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),10,567,CLASSE CM1B
DAKAR,DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),01,559,CI B ECOLE EH TALLA DIAGNE
DAKAR,DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),02,559,CP A ECOLE EH TALLA DIAGNE
