Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE RAWANE NGOM,16,586,ECOLE BOLY DIAW SALLE 16
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,01,518,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,02,516,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,03,516,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,04,519,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,05,519,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAER SEYE,06,518,ECOLE AL AZHAR SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAMBA NDIEME SOW,01,572,CLASSE CM2B
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAMBA NDIEME SOW,02,578,CLASSE CE2A
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAMBA NDIEME SOW,03,577,CLASSE CE1A
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAMBA NDIEME SOW,04,469,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SAMBA NDIEME SOW,05,468,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,01,578,SALLE 12
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,02,577,SALLE 8
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,03,576,SALLE 1
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,04,582,SALLE 4
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,05,554,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,06,555,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,07,500,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SERIGNE BABACAR GUEYE,08,500,CLASSE CE1 B
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,01,593,CLASSE CM1A
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,02,591,CLASSE CM2A
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,03,594,CLASSE CE1B
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,04,593,CLASSE CE1A
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,05,592,CLASSE CE2B
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,06,590,CLASSE CPA
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,07,593,CLASSE CIA
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,08,593,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,09,591,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,10,590,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,11,594,ECOLE SOR DAGA 2 SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,12,593,ECOLE SOR DAGA 2 SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,13,591,ECOLE SOR DAGA 2 SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,14,593,ECOLE SOR DAGA 2 SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOR DAGA,15,588,ECOLE SOR DAGA 2 SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,SAINT LOUIS,ECOLE SOUKEYNA KONARE,01,577,CLASSE CE2 B
