Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAOLACK,NIORO DU RIP,NDRAME ESCALE,BOWE,01,433,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,BOWE,02,387,CLASSE 3
KAOLACK,NIORO DU RIP,NDRAME ESCALE,DJISSA ALIOU,01,274,ECOLE CLASSE 2
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR BIRANE NDOUPI,01,293,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR DAME,01,417,ECOLE CLASSE 2
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR FAFA BOURI,01,274,ECOLE CLASSE 2
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR GAYE,01,527,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR LAHINE SAKHO,01,370,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR MATAR SOUNA,01,350,ABRI PROVISOIRE
KAOLACK,NIORO DU RIP,NDRAME ESCALE,KEUR MOMATH ANTA,01,343,CASE DE SANTE
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDIENGHENE MODI,01,423,CASE DE SANTE
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDRAME ESCALE,01,586,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDRAME ESCALE,02,588,CLASSE 3
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDRAME ESCALE,03,581,CLASSE 5
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDRAME ESCALE,04,582,ECOLE CLASSE CE2 A
KAOLACK,NIORO DU RIP,NDRAME ESCALE,NDRAME ESCALE,05,220,CLASSE CM2 A
KAOLACK,NIORO DU RIP,NDRAME ESCALE,TALLENE GUEDE,01,201,ABRI PROVISOIRE
KAOLACK,NIORO DU RIP,NDRAME ESCALE,THIAMENE MOMATH BINTA,01,291,CLASSE 1
KAOLACK,NIORO DU RIP,NDRAME ESCALE,THIARENE DJISSA,01,401,CLASSE 1
